# x [Mpc/h]	y [Mpc/h]	z [Mpc/h]	Mh [Msun]
 49.3373	 52.1246	 38.9774	1.5208e+12
  8.7916	 10.6827	 35.1050	6.7583e+11
 63.3979	 19.2302	 40.9602	1.4304e+12
 43.5225	 26.1039	 46.1176	1.1969e+12
  0.3402	 46.6441	 12.8192	2.0431e+12
 18.7183	 22.1073	 56.2989	2.4983e+12
 58.1258	 48.0414	 21.0935	1.7114e+12
 46.6573	 39.7601	 17.7413	2.2853e+12
 12.6374	 39.8861	 58.3693	2.3824e+12
  4.2065	 47.6686	 44.8596	2.4570e+12
 20.8359	 40.2935	 12.8388	2.4185e+12
 54.5996	 45.2262	 26.8227	2.3698e+12
 50.0151	 41.5667	  9.7661	1.9196e+12
  8.2929	 57.3737	 52.6020	1.8710e+12
 48.5440	 51.5376	 38.2941	2.4062e+12
 57.3934	 17.6100	 49.4308	2.2409e+12
 26.1511	 30.4837	 40.7245	1.9288e+12
  0.2177	 37.6044	 18.9810	2.5252e+12
  0.6184	 20.4482	 42.4060	2.2409e+12
 46.1106	 48.4427	 12.8141	1.9638e+12
 63.2421	  8.2767	 14.0744	2.4617e+12
 51.1122	 54.2500	 22.6979	2.5507e+12
 52.8569	 37.4884	 55.3231	2.3939e+12
 34.9226	 33.4268	 24.5568	2.0098e+12
 47.2944	 46.6491	 19.6637	2.0306e+12
 10.3477	  6.6550	  7.6425	2.4548e+12
 57.5824	 21.3399	 51.1339	1.8830e+12
 41.2980	 24.9192	 43.1493	2.3573e+12
 27.7645	 22.6773	  8.8375	1.8693e+12
 50.9719	 43.2995	 21.6960	2.3939e+12
 27.8670	 43.4254	 47.1486	2.2128e+12
 55.8242	 15.9616	  5.8201	1.6540e+12
 62.2161	 61.0181	  4.9588	1.9687e+12
 18.0013	 44.0937	  9.1183	2.1340e+12
 22.4975	 40.6875	 51.1344	1.8280e+12
 62.1092	 51.4643	 13.2889	1.9748e+12
 17.3628	  7.5144	 56.5227	1.7036e+12
 37.5783	 55.3737	 22.2482	1.5565e+12
 46.4033	 35.9781	 22.3868	1.1969e+12
  3.0994	 27.7002	 63.6658	2.3293e+12
 22.9185	 62.8841	 45.8926	2.2095e+12
 29.6220	  6.6362	 60.3326	2.4169e+12
 38.9913	 13.2187	 27.1535	2.2919e+12
 19.3095	 29.1366	  4.4356	2.0030e+12
 53.3133	 25.1358	 19.8902	2.1436e+12
 61.0070	 45.7486	 10.1083	2.2364e+12
 40.7390	 36.0245	 32.0734	2.3422e+12
 11.1984	  8.5345	  1.1146	2.4095e+12
 32.2932	 36.4160	 10.3397	2.2619e+12
 15.0197	 51.6448	  4.9082	2.2494e+12
 61.3792	 34.1451	 19.6148	1.7899e+12
 54.5955	 37.6317	 28.1828	2.0971e+12
 44.3923	 44.8751	 20.9797	1.3659e+12
 50.5510	  7.3401	 37.3370	2.1814e+12
 44.0604	 50.6957	  3.8701	1.9697e+12
 22.2619	 29.8722	 44.8518	2.3493e+12
 10.1779	  9.7932	  2.3252	2.1014e+12
 14.5913	 42.9216	 59.3939	1.0828e+12
 47.7276	 30.2946	 14.5189	1.8552e+12
 61.5742	 24.6526	 60.4000	1.8022e+12
 39.2745	 37.6222	 10.6524	2.1387e+12
 17.1255	 63.1695	 59.0622	1.4448e+12
 41.0739	 49.5098	  2.4212	2.0525e+12
 56.1485	  1.3125	 20.6106	2.2114e+12
 49.0227	  7.8411	 37.1655	2.0846e+12
 41.2826	 11.1456	  8.3842	2.1128e+12
 43.1231	 46.5642	 13.1820	1.8972e+12
 63.4708	 46.5567	 47.9947	2.1729e+12
 41.1196	 38.8847	 30.9291	2.1682e+12
 21.2841	 30.9142	 20.8497	1.9678e+12
 41.4852	  1.9097	 41.5027	1.7033e+12
 28.7481	 12.5766	 10.4284	2.1212e+12
 34.6349	 46.8606	  2.7363	2.0802e+12
 17.1205	 30.0747	 62.1955	1.7963e+12
 41.6324	 20.6114	 39.6019	1.6252e+12
 26.6462	 28.8145	 32.5159	1.9042e+12
 37.0105	 12.5276	 30.0982	2.2811e+12
 22.7652	 62.3910	 47.1629	2.1415e+12
 36.3020	 18.3114	 39.9449	1.3168e+12
 22.5042	 57.4436	 58.3044	2.0133e+12
 31.9590	 26.8541	 33.4321	2.1784e+12
 51.6970	 57.9929	 56.6492	2.0919e+12
 40.7646	 31.7566	 46.8575	1.5177e+12
 43.3458	 55.3775	 10.0743	2.0287e+12
 32.9993	 46.0954	 11.1544	1.7364e+12
  2.0173	 13.6251	 60.9175	1.4381e+12
 50.8935	  8.7009	 53.9032	2.0301e+12
 31.5740	  9.9705	  0.8879	1.5954e+12
 44.1814	 42.2392	 32.4848	2.1302e+12
 15.4231	 15.3771	 20.3457	2.0580e+12
 13.8610	 26.4338	 22.8563	2.1812e+12
 62.8795	 55.5791	 31.6072	1.8644e+12
 11.0811	 13.1936	  9.2723	2.0039e+12
 52.9337	 20.9738	  7.3510	2.0521e+12
 36.4900	  7.5408	 43.3356	1.9161e+12
 53.0261	 11.8860	 13.5819	2.1122e+12
 51.6057	 40.4307	 55.1025	1.9758e+12
  2.8303	 17.7451	 34.3910	1.8365e+12
